Application/Permit Number,Permit Type,Status,Category,Expiration Date,Location,Zipcode,Expected Construct Year,Expected Construct Month,Description
6165135,Construction,Permit Issued,COMMERCIAL,02/23/2018,"13730 LAKE CITY WAY NE
(47.72943418, -122.2915677)",98125,2018,2,"Construct new residential (senior housing) building with two live work units at ground level and below grade parking and occupy per plan. (Project includes: Shoring, Excavation & Mechanical)."
6166876,Construction,Permit Issued,MULTIFAMILY,11/20/2018,"2331 BOYLSTON AVE E
(47.64065188, -122.32396065)",98102,2018,11,"***Revised to be brought up to current code***Establish use as multifamily structure and construct apartments with below grade parking, per plan."
6166912,Construction,Permit Issued,COMMERCIAL,12/15/2016,"5022 M L KING JR WAY S
(47.55648826, -122.2902749)",98118,2016,12,"Establish use as general sales and service and multi-family residential with covered and surface parking, constuct mixed use building, and occupy, per plan."
6167255,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/15/2018,"630 RANDOLPH PL
(47.60771827, -122.28540167)",98122,2018,1,"Establish use for and construct new single family dwelling with attached garage, per plans"
6167300,Construction,Permit Issued,COMMERCIAL,10/02/2018,"801 5TH AVE
(47.60547767, -122.33119077)",98104,2018,10,"Phase II of III. Foundation and structural frame for a new 46 story, 760,000 pluss sq. ft. office building with below grade parking for 290 vehicles per plan. Existing private club (Rainier Club) and the sanctuary portion of existing church (First United Methodist)to remain."
6168149,Construction,Permit Issued,COMMERCIAL,03/12/2015,"4007 3RD AVE NW
(47.65648235, -122.36118806)",98107,2015,3,"Establish use as restaurant, custom & craft work, and office and construct new commercial building/occupy per plan."
6170560,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,05/02/2017,"3333 YORK RD S
(47.57251946, -122.28724445)",98144,2017,5,"Establish use as single family residence and construct new single family residence with accessory dwelling unit (ADU) in basement, per plan."
6173794,Construction,Permit Issued,MULTIFAMILY,10/14/2018,"802 E THOMAS ST
(47.62126347, -122.32173169)",98102,2018,10,"Construct apartment, retail and office building and occupy per plan"
6178044,Construction,Permit Issued,MULTIFAMILY,01/16/2019,"3044 31ST AVE W
(47.64822306, -122.39662571)",98199,2019,1,Establish use as townhouse and construct new 4-unit townhouse structure with underground and surface parking per plan.
6178791,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,09/23/2018,"123 NE 52ND ST
(47.6662791, -122.3274974)",98105,2018,9,Alterations to existing single family residence subject to field inspection (STFI).
6183871,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,03/16/2017,"4201 16TH AVE SW
(47.5662351, -122.35498825)",98106,2017,3,Remodel/addition to existing single family residence and associated site work per plans.
6186434,Construction,Permit Issued,MULTIFAMILY,09/14/2014,"5020 CALIFORNIA AVE SW
(47.55680616, -122.38645793)",98136,2014,9,Shoring & excavation for mixed use building/per plan.
6187418,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,06/08/2016,"2829 NW 94TH ST
(47.69730574, -122.39435032)",98117,2016,6,"Construct partial second story addition, interior alterations and convert basement of single family dwelling to accessory dwelling unit (ADU), per plan."
6189533,Construction,Permit Issued,MULTIFAMILY,10/23/2015,"1806 23RD AVE
(47.61791425, -122.30231777)",98122,2015,10,"Establish use as apartments and construct boarding house structure and occupy, per plan."
6190714,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/21/2017,"210 W GALER ST
(47.63250166, -122.3602483)",98119,2017,12,"Replace and rebuild existing garage, per (STFI)"
6196258,Construction,Permit Issued,MULTIFAMILY,04/28/2015,"3916 S PEARL ST
(47.55643839, -122.28228973)",98118,2015,4,Alterations to basement level of existng apartment building to add one additional apartment unit (total of 17 units) per plans.
6198893,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,09/07/2017,"14320 RIVIERA PL NE
(47.73242821, -122.28287076)",98125,2017,9,"Construct additions and alterations to existing single family residence, per plans."
6201433,Construction,Permit Issued,COMMERCIAL,03/27/2015,"1501 4TH AVE
(47.6102272, -122.3374679)",98101,2015,3,"Blanket Permit wall construction, 28th floor, no structural work this permit."
6204954,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,06/04/2018,"1016 WASHINGTON PL E
(47.62799141, -122.29260574)",98112,2018,6,"Remove existing terraced garage, detached and accessory to single-family dwelling, and reconstruct new-wider two-car terrace garage, per plans."
6205046,Construction,Permit Issued,COMMERCIAL,03/27/2015,"1501 4TH AVE
(47.6102272, -122.3374679)",98101,2015,3,Blanket Permit for interior non-structural alterations to the 26th & 27th floors.
6205595,Construction,Permit Issued,COMMERCIAL,04/18/2018,"737 S ELMGROVE ST
(47.53033521, -122.32384718)",98108,2018,4,"Establish use and construct new office building with on site parking, occupy per plan."
6219084,Construction,Permit Issued,MULTIFAMILY,08/25/2018,"119 15TH AVE
(47.60233927, -122.3131416)",98122,2018,8,"Establish use and construct 4 unit townhouse with attached garage and occupy, per MUP 3010470 and per plans"
6221701,Construction,Permit Finaled,SINGLE FAMILY / DUPLEX,04/14/2017,"9265 FAUNTLEROY WAY SW
(47.5203192, -122.39417861)",98136,2017,4,Establish use as single family residence and construct new one family dwelling with attached garage per plan.
6223668,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,02/05/2018,"3310 59TH AVE SW
(47.57493491, -122.40772164)",98116,2018,2,Establish use as single family residence and construct one family dwelling unit with attached garage and accessory dwelling unit (ADU) per plan.
6224482,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,11/24/2018,"1605 31ST AVE
(47.61553792, -122.29268068)",98122,2018,11,"Construct additions and alterations and create accessory dwelling unit (ADU) to existing single family residence, per plan.  Includes construction of site retaining walls at the north and west property lines."
6226262,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,08/12/2015,"2308 W SMITH ST
(47.64158841, -122.38628006)",98199,2015,8,"Establish use as single family residence, construct single family residence, per plan."
6236284,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,03/16/2017,"7350 CALIFORNIA AVE SW
(47.53662168, -122.38697373)",98136,2017,3,"Establish use as single family residence and construct one family dwelling, per plans."
6236972,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,04/11/2018,"6051 5TH AVE NE
(47.67368851, -122.32366294)",98115,2018,4,Construct a two story addition to an existing single family residence per plan
6244005,Construction,Permit Issued,MULTIFAMILY,11/30/2018,"5802 ROOSEVELT WAY NE
(47.67090378, -122.31705509)",98105,2018,11,Construct west duplex(Establish use and construct one new 2-unit and one  3-unit townhouse structures with garages per plans. (Review & Process for 2 AP's under #6244005)
6244008,Construction,Permit Issued,MULTIFAMILY,11/30/2018,"5720 ROOSEVELT WAY NE
(47.67067197, -122.3170737)",98105,2018,11,Construct West Townhouse per plan ( Establish use as townhouses and construct a 3 unit and a 2 unit townhouse structures. Review and processing done under A/P 6244008)
6245452,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,03/04/2016,"4533 S KENNY ST
(47.54896114, -122.27503756)",98118,2016,3,"Establish use as new single family residence with detached accessory dwelling unit, zoning review only."
6246188,Construction,Permit Issued,MULTIFAMILY,11/30/2018,"5728 ROOSEVELT WAY NE
(47.67077493, -122.31693568)",98105,2018,11,Construct East Townhouse per plan (this Permit) ( Establish use as townhouses and construct a 3 unit and a 2 unit townhouse structures.  Reviw and processing done under A/P 6244008)
6246943,Construction,Permit Issued,MULTIFAMILY,11/30/2018,"5798 ROOSEVELT WAY NE
(47.67090125, -122.31692517)",98105,2018,11,Construct East Triplex ( Establish use and construct new new 2 unit and one 3-unit townhouse structures with garages per plan. ( Review and Process 2 Ap's under AP# 6244005
6247435,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/19/2014,"2819 E VALLEY ST
(47.62574764, -122.29552768)",98112,2014,12,"Establish use as and construct new single family residence with attached garage, per plans."
6251050,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,02/06/2018,"214 NW 55TH ST
(47.66893097, -122.35980988)",98107,2018,2,Construct new single family residence on existing basement/foundation walls with attached garage per plan
6251303,Construction,Permit Issued,COMMERCIAL,12/17/2017,"324 NE 45TH ST
(47.66146277, -122.3243056)",98105,2017,12,"Establish use as office, retail, and dwelling unit and construct mixed use building with attached parking, occupy per plan."
6251578,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,10/21/2018,"2008 E PROSPECT ST
(47.62883853, -122.30554436)",98112,2018,10,Second story alterations to existing single family residence subject to field inspection (STFI).
6254039,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/19/2014,"7446 GATEWOOD RD SW
(47.53680442, -122.38486628)",98136,2014,12,"Change of use from Single Family Residence to Bed and Breakfast, establish surface parking and occupy, per plan."
6260799,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,10/17/2015,"4812 S FRONTENAC ST
(47.53993096, -122.27197011)",98118,2015,10,"Establish use as and construct new single family residence with attached garage, per plan."
6261910,Construction,Permit Issued,INSTITUTIONAL,01/04/2016,"6343 NE 65TH ST
(47.67564058, -122.25927734)",98115,2016,1,"Construct underground storage tank and vault for Seattle Public Utilities with associated piping and site work, per plans. (Shoring, excavation, and major site grading under 6342398)."
6262816,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,10/23/2015,"14307 22ND AVE NE
(47.7324345, -122.30618659)",98125,2015,10,Construct addition and alteration to existing single family residence per plan
6269009,Construction,Permit Issued,COMMERCIAL,07/16/2017,"3250 AIRPORT WAY S
(47.57470521, -122.32115922)",98134,2017,7,"Construction of a commercial building with custom craft, retail, storage and parking; occupy per plan."
6269590,Construction,Permit Issued,COMMERCIAL,10/28/2018,"601 UNION ST
(47.610431, -122.33207691)",98101,2018,10,"Blanket Permit for interior non-structural alterations for tenant, WASHINGTON TRUST BANK. FLOOR 50"
6271656,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/20/2014,"14043 19TH AVE NE
(47.73154868, -122.30921039)",98125,2014,12,"6/10/2014 - CANCELLED CUSTOMER LOG #14-460Remove garage and construct detached accessory dwelling unit to existing single family residence, per plan."
6272242,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,02/11/2017,"338 39TH AVE E
(47.62244251, -122.28238823)",98112,2017,2,"Substantial alterations and addition to existing single family residence with attached garage, per plan."
6272466,Construction,Permit Issued,MULTIFAMILY,02/18/2018,"3950 S PEARL ST
(47.55642263, -122.2813914)",98118,2018,2,Establish use as townhouses and construct 5 unit new townhouses w/surface parking and occupy per plan
6272863,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,07/26/2018,"4826 45TH AVE S
(47.55854024, -122.27673072)",98118,2018,7,"Construct addition and alterations and add an accessory dwelling unit to existing single family residence, per plan."
6275717,Construction,Permit Issued,COMMERCIAL,11/09/2018,"5247 CALIFORNIA AVE SW
(47.55498721, -122.38741899)",98136,2018,11,"Establish use as and construct mixed-use building and occupy, per plans.(Review and processing for 2 AP's under # 6275717)."
6276147,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,04/01/2016,"3026 S DAWSON ST
(47.55584591, -122.29324275)",98108,2016,4,Establish use and construct new single family residence with attached garage per plan.
6276205,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,08/28/2018,"9962 RAINIER AVE S
(47.51207117, -122.24840547)",98118,2018,8,Establish use and construct new single family residence with attached garage/per plan.
6278428,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,07/22/2017,"7109 S TAFT ST
(47.50992492, -122.24433503)",98178,2017,7,"Remove existing garage and carport, construct new garage and detached heated shop, construct substantial alterations and additions to single family residence, and construct site retaining walls, per plan."
6278794,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,06/19/2017,"8824 42ND AVE S
(47.52344398, -122.28046282)",98118,2017,6,Construct additions to and alter existing single family dwelling by relocating the structure on site per plan.
6279467,Construction,Permit Issued,COMMERCIAL,12/01/2017,"1417 10TH AVE
(47.61345527, -122.31981104)",98122,2017,12,Change of use from light manufacturing to indoor participant sports and construct interior alterations to existing commercial building at the south-east corner of the main floor and occupy per plan
6279652,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,09/23/2017,"2827 40TH AVE W
(47.64581815, -122.40867938)",98199,2017,9,Construct new garage assessory to existing single family residence subject to field inspection (STFI) per floor plan.
6283082,Construction,Permit Issued,COMMERCIAL,07/24/2015,"750 HARRISON ST
(47.6223157, -122.34195684)",98109,2015,7,Change of use from retail to indoor participant sports and Construct tenant improvements to the south end of the main floor/Occupy per plan.
6283427,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,02/14/2017,"7100 MILITARY RD S
(47.5388584, -122.2984135)",98108,2017,2,Establish use for and construct new single family dwelling with attached garage per short plat #3011546 and per plans.
6283810,Construction,Permit Issued,COMMERCIAL,03/27/2015,"1501 4TH AVE
(47.6102272, -122.3374679)",98101,2015,3,Blanket Permit for interior non-structural alterations to floor 19.
6284321,Construction,Permit Issued,COMMERCIAL,09/21/2018,"1812 BOREN AVE
(47.61698493, -122.33196571)",98101,2018,9,"Construct a new residential and office building with ground floor retail and below grade parking, and occupy per plan."
6284833,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/25/2016,"4415 MONTANA CIR W
(47.66158276, -122.41589896)",98199,2016,12,Substantial alterations to single family dwelling per plan. (Substantial alterations to six duplexes and one single family dwelling per plan. Process and review all 7 projects under 6284833)
6285331,Construction,Permit Finaled,SINGLE FAMILY / DUPLEX,12/25/2017,"7408 SUNNYSIDE AVE N
(47.68283595, -122.32927899)",98115,2017,12,"Construct duplex, per plan.(Establish use as townhouses and single family residence and construct SFR and duplex / processing for 2 A/P's under 6285245)."
6285721,Construction,Permit Issued,COMMERCIAL,08/08/2017,"1430 2ND AVE
(47.60911773, -122.33832038)",98101,2017,8,"Phased Project:  Construction of a mixed use residential tower with below grade parking and occupy, per plan."
6285753,Construction,Permit Issued,COMMERCIAL,02/12/2017,"1430 2ND AVE
(47.60911773, -122.33832038)",98101,2017,2,"Shoring and Excavation for construction of a mixed use residential tower with below grade parking, per plan. Review and processing 2 AP's under # 6285753."
6286327,Construction,Permit Issued,MULTIFAMILY,03/03/2016,"13581 41ST AVE NE
(47.72810508, -122.2852014)",98125,2016,3,"Remove and replace retaining wall at east side of property accessory to existing single family residence, per plans."
6286360,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,04/04/2014,"5747 NE AMBLESIDE RD
(47.66629385, -122.26385121)",98105,2014,4,"Construct a hillside incline elevator accessory to a single family residence and grade approx 20 cu yds of material, all per plan."
6286468,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,11/02/2018,"1857 NE RAVENNA BLVD
(47.66916886, -122.30701452)",98105,2018,11,Construct addition and alterations to existing single family per plan.
6287205,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,09/19/2015,"1947 8TH AVE W
(47.63730136, -122.36790142)",98119,2015,9,Establish use as and construct new single family residence. The proposed detached garage will not be constructed under this permit. Existing garage to remain.
6287429,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,10/30/2018,"12735 12TH AVE NE
(47.72220152, -122.31569628)",98125,2018,10,"Remove existing detached garage and construct addition and alterations to existing single family residence, per plan."
6287813,Construction,Permit Issued,COMMERCIAL,11/21/2018,"1100 OLIVE WAY
(47.61597954, -122.33086962)",98101,2018,11,"Blanket Permit for interior non-structural alterations for tenant, PARIVEDA SOLUTIONS. FLOOR 8"
6287934,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,09/19/2015,"203 NW 47TH ST
(47.66311368, -122.35932973)",98107,2015,9,"Construct addition to existing single family residence, per plan."
6288842,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,03/11/2015,"827 W BARRETT ST
(47.64664301, -122.36875372)",98119,2015,3,"Construct storage addition with deck above accessory to single family residence, per plan."
6288956,Construction,Permit Issued,COMMERCIAL,03/20/2012,"551 BOREN AVE N
(47.62406618, -122.33620465)",98109,2012,3,Blanket permit for interior non-structural alterations.  Administrative permit only- no work authorized.
6289293,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,09/13/2017,"310 NW 51ST ST
(47.6659138, -122.36126514)",98107,2017,9,Construct upper level addition and structural upgrades to the existing foundation and existing main floor level.
6289536,Construction,Permit Issued,COMMERCIAL,10/21/2017,"3201 1ST AVE S
(47.57529518, -122.33476513)",98134,2017,10,"Construct alterations and change of use from warehouse to office and accessory storage, occupy per plans"
6290476,Construction,Permit Issued,COMMERCIAL,10/26/2017,"1201 ALASKAN WAY S
(47.59222477, -122.33696944)",98134,2017,10,"Construct structural support foundations for installation of muck conveyer system and barge fleeting system at Port of Seattle T-46, per plan. (Support activity for HWY 99 viaduct replacement)"
6290770,Construction,Permit Issued,COMMERCIAL,01/12/2018,"61 COLUMBIA ST
(47.60247931, -122.33622043)",98104,2018,1,Structural alteration and voluntary seismic upgrade for foundation stabilization associated with SR 99 AWV replacement per plan
6292252,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,05/17/2017,"902 NW 59TH ST
(47.67186351, -122.36888571)",98107,2017,5,Construct additions and alterations to existing single family residence per plan.
6293170,Construction,Permit Issued,COMMERCIAL,02/15/2017,"2930 WESTLAKE AVE N
(47.64642453, -122.34895191)",98109,2017,2,"Re-side and re-roof, remove balconies and infill balcony access doorways to south building, per plan."
6293266,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,10/08/2017,"9412 LEROY PL S
(47.51811467, -122.28714412)",98118,2017,10,"Construct single family residence with attached garage, per plan"
6293806,Construction,Permit Issued,MULTIFAMILY,10/11/2015,"10203 47TH AVE SW
(47.51169335, -122.39436085)",98146,2015,10,Alterations to unit D-18 of existing condominium building per plan.
6294257,Construction,Permit Issued,COMMERCIAL,04/09/2014,"1250 DENNY WAY
(47.61874096, -122.33111616)",98109,2014,4,"Construct shoring, excavation and grade 65,800 cubic yards of material (20,000 cu. yds. of contaminated soil)/per plan."
6295273,Construction,Permit Finaled,SINGLE FAMILY / DUPLEX,04/30/2014,"1234 NE 117TH ST
(47.71468969, -122.31377673)",98125,2014,4,Establish use as and Construct new single family residence with attached garage per plan.
6296959,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,09/24/2015,"326 N 73RD ST
(47.68199442, -122.35407977)",98103,2015,9,"Alterations to south side of existing single family residence to construct rockeries, stairs and retaining walls per plan. (Double tag with AP #6298684) Review and Process for 2 AP's under #6296959."
6296971,Construction,Permit Issued,COMMERCIAL,02/15/2017,"2940 WESTLAKE AVE N
(47.64663698, -122.3490849)",98109,2017,2,"Re-side and re-roof North Building, per plan."
6296984,Construction,Permit Issued,COMMERCIAL,02/15/2017,"2934 WESTLAKE AVE N
(47.64659068, -122.34864238)",98109,2017,2,"Re-side and re-roof southwesterly structure, per plan."
6297704,Construction,Permit Issued,MULTIFAMILY,11/07/2018,"4523 8TH AVE NE
(47.66202846, -122.31984464)",98105,2018,11,Establish use as apartments and customer service office; construct mixed-use building with surface parking and occupy per plans.
6298573,Construction,Permit Issued,COMMERCIAL,03/18/2015,"3611 2ND AVE NW
(47.65366985, -122.35929779)",98107,2015,3,Establish use as two live work units and four apartments and construct alterations to existing mixed-use building / occupy per plan.
6299015,Construction,Permit Issued,COMMERCIAL,11/17/2017,"7018 BEACH DR SW
(47.54009788, -122.39612127)",98136,2017,11,"Construction of below grade circular combined sewage overflow (CSO) storage tank, above grade odor control room, and a building housing mechanical and electrical/control facilities for Public Utility Serviceuse including associated excavation, site restoration paving, and landscaping, per plan  NOTE: A FULL REVISION APPROVAL FOR SHORING IS REQUIRED BEFORE SITE WORK CAN BEGIN. (6397491)"
6300073,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,05/13/2014,"9351 FAUNTLEROY WAY SW
(47.51797119, -122.39487437)",98136,2014,5,"Construct retaining wall, gazebo and landscape elements for existing single family residence, per plan."
6300081,Construction,Permit Issued,MULTIFAMILY,08/15/2015,"9036 15TH AVE NW
(47.69545337, -122.37621095)",98117,2015,8,"Establish use as and construct northeast single family residence with attached garage, per plan."
6300095,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,05/08/2014,"3111 QUEEN ANNE AVE N
(47.64813451, -122.35788727)",98109,2014,5,Establish use as single family dwelling and construct one family dwelling with attached garage per plan.
6300180,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,06/02/2018,"3907 25TH AVE S
(47.56900291, -122.30106259)",98108,2018,6,"Install slope stablilization, remove fill on slope and landscape per plan."
6300390,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,08/14/2018,"1701 37TH AVE
(47.61655478, -122.2862414)",98122,2018,8,"Establish use and construct single family residence, per plan.  Existing garage to remain."
6300739,Construction,Permit Finaled,COMMERCIAL,05/14/2014,"509 1ST AVE W
(47.62365288, -122.35833637)",98119,2014,5,"Construct a multifamily structure consisting of (40) apartments, & (3) live/work units and occupy per plan"
6300918,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,03/13/2018,"9519 4TH AVE NW
(47.69855426, -122.36268642)",98117,2018,3,"Construct additions and alterations to existing single family residence, per plan."
6301180,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,06/17/2014,"3651 HILLCREST AVE SW
(47.57161174, -122.40769618)",98116,2014,6,"Remove detached carport, construct addition and alterations to existing single family residence, per plan."
6301674,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,08/07/2014,"1111 LAKE WASHINGTON BLVD S
(47.59309117, -122.2894755)",98144,2014,8,"Establish use and construct new single family residence and attached garage, per plan."
6303725,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,02/02/2014,"700 N 90TH ST
(47.69439161, -122.34975125)",98103,2014,2,Establish use as and construct new single family residence with attached garage/per plan.
6304546,Construction,Permit Issued,COMMERCIAL,02/07/2018,"2001 W GARFIELD ST
(47.63100625, -122.38282969)",98119,2018,2,"Construction of underground storage tank, associated piping, and ancillary building for combined sewer overflow (CSO) control including site improvements, per plan  NOTE: A FULL REVISION APPROVAL BY DPD FOR SHORING AND DEWATERING IS REQUIRED BEFORE SITE WORK"
6304581,Construction,Permit Issued,MULTIFAMILY,12/30/2016,"12350 33RD AVE NE
(47.71896494, -122.29247667)",98125,2016,12,"Establish use as and construct a new mulifamily residence, occupy per plan."
6304888,Construction,Permit Issued,INSTITUTIONAL,02/28/2018,"4821 S FONTANELLE ST
(47.53574399, -122.27173296)",98118,2018,2,"Construct new religious facility (Van Hanh Buddhist Temple) and occupy, per plan."
6306508,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,02/27/2017,"12740 10TH AVE NE
(47.72239704, -122.31779149)",98125,2017,2,Construct single story addition and alterations to existing single family residence.
6307520,Construction,Permit Issued,COMMERCIAL,02/23/2020,"500 5TH AVE N
(47.62419713, -122.34444505)",98109,2020,2,"Construct office building for Building ""C"", shell permit only and occupy per plans."
6307521,Construction,Permit Issued,COMMERCIAL,02/22/2020,"500 5TH AVE N
(47.62419713, -122.34444505)",98109,2020,2,Shoring and excavation for future office building per plans
6307585,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/23/2019,"2651 NW 86TH ST
(47.6911275, -122.3923884)",98117,2019,1,"Construct detached accesory dwelling unit accessory to existing single family residence and occupy, per plans."
6307765,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,03/28/2014,"4750 54TH AVE SW
(47.56001368, -122.40113295)",98116,2014,3,Establish use as single family residence and construct one single family dwelling per plans
6308207,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/01/2018,"135 NE 60TH ST
(47.67206739, -122.32668907)",98115,2018,1,"Construct upper floor addition to signle family residence, per plan."
6308356,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,08/23/2018,"13734 37TH AVE NE
(47.72923952, -122.28803625)",98125,2018,8,"Demolish existing detached carport and construct new attached garage and addition to existing single family residence, per plan."
6308504,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,08/08/2018,"9704 BEACON AVE S
(47.51415614, -122.27346114)",98118,2018,8,Remove existing garage and construct new 2 story workshop/ office per plans
